t_seconds,latency_ms
0.000217,32.0574
0.003667,29.0480
0.003991,29.1319
0.004162,29.3804
0.004309,29.6712
0.004454,30.0057
0.004584,30.3773
0.004705,30.7934
0.004830,31.2510
0.004962,31.7884
0.005092,32.3341
0.005219,32.8859
0.005341,33.3055
0.005480,34.1554
0.005686,37.2489
0.005830,37.6906
0.005955,38.0885
0.006094,38.4731
0.006231,38.8433
0.006364,39.2352
0.006500,39.8164
0.006637,40.3815
0.006790,40.8686
0.006937,41.3202
0.007079,41.7857
0.007267,42.2367
0.007409,42.7433
0.007536,43.2774
0.007674,47.7874
0.007822,48.4204
0.007955,49.0641
0.008093,49.6626
0.008243,50.2697
0.008571,50.7092
0.008870,51.1886
0.009194,51.7190
0.009463,52.3474
0.009626,53.0398
0.009769,53.7357
0.009907,54.4561
0.010069,55.1734
0.010216,55.9196
0.010352,56.8899
0.010488,57.7465
0.010626,58.5478
0.010763,59.4875
0.010896,60.3946
0.011105,61.1746
0.032276,44.0531
0.042935,39.4344
0.033543,51.2656
0.034460,55.2557
0.043521,48.8901
0.046317,52.9843
0.084809,17.7384
0.038105,70.2089
0.035499,73.8949
0.049504,63.6522
0.047660,71.7367
0.047019,73.8946
0.050813,71.7181
0.102548,23.6411
0.037427,92.3637
0.048257,82.7788
0.045599,88.1732
0.039635,98.3464
0.044044,95.4626
0.058513,82.0003
0.119397,26.0846
0.129791,19.5406
0.089716,60.8218
0.059281,92.6652
0.126189,27.1680
0.038647,118.1375
0.062667,96.6942
0.137982,23.5749
0.076330,91.1930
0.149332,19.1706
0.150538,21.7860
0.061811,120.5808
0.066136,117.2407
0.057756,126.5609
0.068235,117.0223
0.034962,151.6563
0.063505,125.8782
0.168503,27.4051
0.133774,63.5153
0.067242,133.9817
0.120914,82.6518
0.161558,44.0807
0.060059,151.8199
0.195909,21.8747
0.036082,185.3092
0.156785,66.5230
0.203566,20.6968
0.060913,164.5527
0.153358,73.1165
0.205639,25.1083
0.045075,192.3225
0.048865,189.5279
0.217784,25.3007
0.131037,114.9376
0.057020,193.2949
0.113157,141.5135
0.122532,133.7576
0.071291,189.3088
0.070251,194.9398
0.183377,83.8801
0.099302,169.4537
0.050153,222.2972
0.225466,48.9764
0.254671,26.8824
0.230748,56.6269
0.032716,257.9008
0.224263,67.9085
0.151947,142.6231
0.167524,130.0833
0.201225,100.6247
0.056243,248.2845
0.036751,269.0060
0.055462,251.2470
0.221392,90.5473
0.082370,234.4699
0.256290,64.5408
0.182392,139.3835
0.197289,125.4497
0.265192,60.8933
0.274443,55.8303
0.238393,92.9333
0.245975,89.1708
0.237398,102.9907
0.069174,273.2923
0.065243,279.6047
0.326085,25.3517
0.033981,318.9381
0.272451,85.4453
0.268756,91.1440
0.267258,95.3631
0.092411,272.6930
0.072281,294.2274
0.340389,28.1346
0.044567,327.5926
0.330274,47.3933
0.352919,30.2873
0.344849,42.2047
0.290617,97.3760
0.243085,148.5381
0.145482,247.6496
0.301850,92.2538
0.287375,108.8228
0.372160,26.3853
0.294570,112.3485
0.226475,182.2529
0.033124,382.7194
0.311940,104.8508
0.387054,32.5818
0.172325,251.2152
0.383207,42.1726
0.297608,128.6794
0.306710,124.9650
0.189384,245.5415
0.185258,252.3169
0.064364,375.4890
0.304528,138.8437
0.415843,28.9601
0.416791,29.9607
0.281554,168.0639
0.159361,294.7755
0.365105,91.5735
0.260600,197.3565
0.431675,28.6318
0.305757,161.0797
0.321776,146.7107
0.211879,258.0793
0.368524,105.4629
0.351438,128.4547
0.357897,123.4039
0.140514,346.7070
0.426288,63.0380
0.439853,50.9013
0.396198,100.3219
0.362621,135.9082
0.223308,276.2249
0.479893,23.9694
0.408728,100.7645
0.460307,52.1007
0.398546,117.8391
0.391624,133.9742
0.292173,235.0398
0.468488,60.5567
0.139508,390.5032
0.320831,213.1273
0.469959,68.6902
0.419636,120.4837
0.449618,93.7497
0.437575,110.0936
0.331328,219.0793
0.394105,158.7775
0.446752,107.3270
0.377668,180.9341
0.108315,453.2053
0.533959,29.5467
0.498530,68.6866
0.387994,186.7878
0.425380,151.0355
0.473988,103.4596
0.547669,30.7851
0.443373,136.4964
0.487222,96.0316
0.466837,119.7035
0.489326,101.9754
0.550407,50.2241
0.503863,97.9552
0.393132,209.6125
0.512409,91.2616
0.335146,272.5671
0.574782,34.3212
0.583254,30.4481
0.456679,158.6202
0.554080,62.8456
0.577448,45.8057
0.525598,98.9606
0.600632,28.0777
0.496521,133.1158
0.563506,68.2695
0.481301,153.3504
0.586541,51.8432
0.561521,77.9616
0.552883,88.4295
0.342467,304.4247
0.109394,538.9011
0.509493,142.2560
0.530011,123.0785
0.628710,25.3186
0.629637,28.0978
0.538650,121.6021
0.616926,51.3633
0.609104,60.1007
0.607714,62.8686
0.366509,307.8880
0.631776,46.1650
0.613702,66.8436
0.654029,27.8845
0.591302,93.9871
0.406919,283.9244
0.651750,40.0628
0.668290,27.8573
0.576416,121.4832
0.490755,213.5912
0.601818,103.8824
0.646892,60.3512
0.685290,27.2460
0.527213,191.6085
0.641313,79.3851
0.624559,98.7768
0.696148,28.6684
0.516386,209.4592
0.529045,200.6466
0.558603,177.4904
0.615300,122.3726
0.457957,281.5557
0.634652,108.3687
0.648296,95.6720
0.718822,28.0243
0.250315,499.6415
0.707244,48.6788
0.567217,191.1307
0.697900,64.5976
0.639483,126.2161
0.743021,23.6455
0.434925,334.6719
0.743968,26.5932
0.543368,228.1625
0.623254,156.4110
0.670583,110.0562
0.691813,90.4459
0.657735,131.9387
0.677942,116.7112
0.746847,49.2330
0.660252,137.7194
0.720698,81.1062
0.758348,46.6462
0.359901,446.1289
0.712536,94.9725
0.724817,84.7205
0.579870,234.9326
0.603671,212.7484
0.723337,96.3951
