t_seconds,latency_ms
0.000234,24.1712
0.000574,24.0884
0.001656,23.2483
0.001860,23.2962
0.002022,23.4032
0.002180,23.5401
0.002332,23.7171
0.002489,23.9037
0.002653,24.0870
0.002813,24.3072
0.002976,26.9188
0.003132,27.1958
0.003292,27.4666
0.003450,27.7344
0.003621,27.9946
0.004264,27.8255
0.004455,28.1481
0.004628,28.8138
0.004793,29.4876
0.004956,30.2032
0.005118,30.9524
0.005282,35.5081
0.005447,36.3800
0.005620,37.1921
0.005790,37.7616
0.005958,38.2908
0.006125,38.8322
0.006293,39.3403
0.006552,39.7634
0.006742,40.2985
0.006915,40.9212
0.007085,41.5566
0.007255,42.1907
0.007380,43.0763
0.007502,46.6932
0.007631,47.3715
0.007803,47.9998
0.007942,48.7028
0.008074,49.4160
0.008199,50.1451
0.008324,50.9536
0.008538,51.6629
0.008685,52.4185
0.008813,53.2244
0.008939,54.0518
0.009070,54.8866
0.009200,55.7258
0.009326,56.5953
0.024406,45.0598
0.029895,45.0673
0.054195,26.2149
0.025720,57.5957
0.031616,55.5590
0.032603,59.4046
0.055803,39.7173
0.059278,40.3025
0.031185,71.7409
0.026393,77.9484
0.036071,70.4944
0.027121,87.9906
0.040791,75.9087
0.095521,22.2475
0.024663,97.2937
0.060202,62.8166
0.064926,60.7330
0.063957,66.2804
0.061104,73.8313
0.025425,110.4777
0.115112,21.7954
0.121958,20.8541
0.065922,80.8417
0.046315,102.0143
0.106566,46.5671
0.030328,125.1857
0.069466,87.1722
0.134936,24.7997
0.142812,24.9607
0.125660,46.6370
0.034281,142.9082
0.130238,47.9172
0.047837,134.1306
0.057491,127.5860
0.043552,143.1794
0.044249,146.5710
0.042812,151.5632
0.104342,94.7346
0.055003,145.5314
0.116700,87.6960
0.177190,29.0147
0.092009,115.2200
0.049446,166.8091
0.025156,192.4871
0.058344,161.0307
0.156639,64.1409
0.099581,124.8905
0.044958,183.3096
0.199077,30.7611
0.026049,204.7934
0.172298,60.4237
0.032090,203.4055
0.080411,160.8557
0.045633,197.4829
0.056645,188.8850
0.047041,201.2808
0.224472,29.5726
0.041828,216.1806
0.048642,211.8499
0.087176,179.9709
0.026741,241.9461
0.123019,147.6111
0.245531,27.4161
0.030759,247.3478
0.033442,246.1585
0.207229,74.3081
0.167774,117.3376
0.260493,27.8127
0.216256,74.1920
0.135904,159.4455
0.035160,261.1213
0.148330,155.9537
0.062991,243.4793
0.178156,129.8495
0.062038,248.5287
0.285112,28.1321
0.228268,88.1275
0.268688,49.4220
0.136908,184.7118
0.295350,27.6863
0.241267,86.4663
0.254046,74.6868
0.304284,25.4401
0.248322,82.4111
0.204397,130.4180
0.200535,138.7926
0.181968,162.6993
0.243117,102.5191
0.185077,163.4862
0.235496,115.6758
0.327734,26.9554
0.230843,129.6245
0.258009,104.2885
0.146764,216.9981
0.190821,185.7287
0.102926,274.6280
0.279601,99.3606
0.155515,224.9522
0.270631,110.8474
0.229839,154.2993
0.316396,68.6849
0.321620,67.7989
0.288306,104.9745
0.310567,87.6850
0.117769,281.4877
0.272947,136.2782
0.384139,26.1212
0.308006,104.5636
0.219376,196.4679
0.050457,366.9378
0.351172,70.1646
0.306471,115.9691
0.398252,28.6568
0.267147,164.6559
0.278107,157.6180
0.345636,92.7463
0.024905,416.5126
0.186732,256.1179
0.389420,54.9019
0.281538,165.4035
0.159736,291.2610
0.399257,54.3350
0.360468,96.0662
0.431803,28.2751
0.412570,50.9346
0.232722,232.3297
0.441418,25.5644
0.409226,60.5356
0.393281,79.8974
0.329725,146.2920
0.348564,135.2513
0.083316,401.4697
0.362298,123.4312
0.206205,283.3302
0.453593,38.6369
0.074963,421.2028
0.473179,23.9777
0.377555,124.8519
0.323036,181.8447
0.485730,27.6334
0.318110,198.9054
0.313244,206.5363
0.344668,177.1063
0.476017,47.2047
0.465052,59.1317
0.463506,63.2603
0.194376,333.3512
0.502407,27.8670
0.450997,86.2609
0.497157,41.7248
0.513364,27.4772
0.380468,161.7907
0.417396,128.2611
0.415844,131.4935
0.422440,128.5928
0.381478,172.4769
0.217644,337.6890
0.354690,205.2362
0.290448,270.4327
0.537259,26.4866
0.339328,227.0672
0.545658,22.2555
0.547338,25.1104
0.378962,199.8113
0.553956,26.3128
0.484786,99.6891
0.496166,89.6449
0.334815,251.9846
0.385082,209.3201
0.519781,75.6008
0.530274,66.5412
0.504882,95.0530
0.456535,144.3593
0.296282,311.1883
0.560881,51.6568
0.426910,187.0091
0.376550,239.7880
0.466983,151.7051
0.566395,53.3659
0.538882,82.9538
0.599935,24.8941
0.595383,39.8280
0.469762,166.7891
0.523223,115.6277
0.613919,26.2990
0.596816,47.6488
0.220780,427.0558
0.555333,94.3899
0.442850,209.6247
0.551034,105.0511
0.521775,138.7917
0.363763,301.1252
0.410260,257.3664
0.621836,47.5989
0.594402,79.3251
0.619762,61.7274
0.656085,26.3550
0.489536,195.8685
0.600894,87.3065
0.330734,360.1213
0.638851,53.1701
0.460079,236.0170
0.664889,36.5265
0.527728,177.0691
0.618688,88.0896
0.681490,26.3029
0.328733,382.8184
0.435726,279.5819
0.559927,158.1603
0.526767,194.6717
0.586800,139.2345
0.438383,290.5508
0.669436,62.7829
0.647837,88.8517
0.652476,85.2208
0.607471,135.1759
0.688201,56.0092
0.483816,262.4492
0.572449,180.7118
0.635211,120.8722
0.563746,193.8940
0.540841,217.9342
0.492230,271.5954
0.718088,46.7517
0.685405,83.2134
0.690856,83.8873
0.567914,208.8553
0.578774,203.3202
0.636552,147.5838
0.446942,338.6211
0.706779,81.8998
0.667627,122.6474
0.764840,28.0791
0.726035,73.5387
0.421337,381.0151
0.763826,39.9246
0.692021,119.6634
0.696096,118.9976
0.715308,102.5086
0.673728,146.5382
0.799574,24.0723
0.790275,34.8148
0.742647,83.4289
0.776770,56.9896
0.612539,222.6165
0.792919,46.5826
0.736689,107.2536
0.644465,202.5290
0.649723,200.2567
0.707793,144.8766
0.753162,103.7043
0.640219,217.5878
0.768619,96.1132
0.803751,64.2616
0.585811,284.3951
0.843943,27.3148
0.616338,260.1137
0.517016,360.3999
0.701416,178.9061
0.788679,94.2564
0.721439,164.4440
0.757641,133.5426
0.852670,39.5009
0.756084,142.4463
0.542259,357.3043
0.737697,164.0565
0.876452,28.1397
0.802353,103.8796
0.820266,88.5716
0.524184,389.0623
0.728934,185.2636
0.815095,100.9311
0.891184,27.8232
0.898531,24.0616
0.901754,26.9839
0.660567,274.1137
0.746265,192.0128
0.811685,127.6325
0.885884,55.3324
0.704797,239.4511
0.782095,163.7384
0.922593,27.0719
0.904593,50.6971
0.823647,133.6541
